Категория;Товар;Цена;Адрес;Видим;Рекомендуемый;Бренд;Вариант;"Старая цена";Артикул;Склад;"Заголовок страницы";"Ключевые слова";"Описание страницы";Аннотация;Описание;Изображения;Стандарт;Тип;Платформа;"Операционная система";"Тип корпуса";"Материал корпуса";Вес;"Размеры (ШxВxТ)";"Тип экрана";"Тип сенсорного экрана";Диагональ;"Размер изображения";"Автоматический поворот экрана";"Тип мелодий";Виброзвонок;Фотокамера;"Запись видеороликов";"Макс. частота кадров видео";"Воспроизведение видео";Аудио;Диктофон;Игры;Java-приложения;"Разъем для наушников";Интерфейсы;"Зарядка от USB";"Встроенный GPS-приемник";"Cистема A-GPS";"Доступ в интернет";"Синхронизация с компьютером";"Использование в качестве USB-накопителя";"Объем встроенной памяти";MMS;"Тип аккумулятора";"Емкость аккумулятора";"Время разговора";"Время ожидания";"Громкая связь (встроенный динамик)";"Режим полета";Датчики;"Поиск по книжке";"Обмен между SIM-картой и внутренней памятью";Органайзер;Комплектация;"Дата анонсирования (г-м-д)";Русификация;Распознавание;"Макс. разрешение видео";"Geo Tagging";"Фронтальная камера";Видеовыход;Модем;"Объем постоянной памяти (ROM)";Процессор;"Время работы в режиме прослушивания музыки";Управление;Автодозвон;Особенности;"Поддержка DLNA";"Объем оперативной памяти (RAM)";"Дополнительные функции SMS";"Профиль A2DP";"Дата начала продаж (г-м-д)";QWERTY-клавиатура;VoIP-клиент;Push-To-Talk;"Режимы кодирования звука HR, FR, EFR";"Записная книжка в аппарате";"Уровень SAR";"Официальная поставка в Россию";"Mobile Tracker";"Поддержка двух SIM-карт";Уборка;"Потребляемая мощность";Пылесборник;"Регулятор мощности";"Фильтр тонкой очистки";"Источник питания";"Уровень шума";"Длина сетевого шнура";"Функции и возможности";"Размеры пылесоса (ШxГxВ)";"Дополнительная информация";"Труба всасывания";"Возможность подключения электрощетки";"Дополнительные насадки в комплекте";"Турбощетка в комплекте";"Мощность всасывания";"Электрощетка в комплекте";Чаша;Мощность;"Число скоростей";"Дополнительные режимы";"Количество насадок";Насадки;"Кнопка отсоединения насадок";"Защитная крышка на чашу";"Прорезиненная ручка";"Приспособление для хранения насадок";"Общее число пикселов";"Число эффективных пикселов";"Физический размер";Кроп-фактор;"Тип матрицы";Чувствительность;"Баланс белого";Вспышка;Макросъёмка;Таймер;"Время работы таймера";"Формат кадра (фотосъемка)";"Фокусное расстояние (35 мм эквивалент)";"Оптический Zoom";Диафрагма;Видоискатель;ЖК-экран;"Тип ЖК-экрана";"Ручная настройка выдержки и диафрагмы";"Экспокоррекция ";"Минимальное расстояние съемки";"Тип карт памяти";"Форматы изображения";"Формат аккумуляторов";"Количество аккумуляторов";"Запись видео";"Формат записи видео";"Максимальное разрешение роликов";"Цифровой Zoom";"Дополнительные возможности";"Дата анонсирования";"Дата начала продаж";Размер;"Стабилизатор изображения (фотосъемка)";"Режим серийной съемки";"Подсветка автофокуса";"Фокусировка по лицу";"Разъем питания";"Запись звука";"Название объектива";"Максимальная частота кадров видеоролика";"Максимальная частота кадров при съемке HD-видео";"Электронная стабилизация при видеосъемке";"Скорость съемки";"Число оптических элементов";"Число групп оптических элементов";Выдержка;"Замер экспозиции";"Автоматическая обработка экспозиции"
"ТЕСТ 19.09.2018 14:50:47";"Тестовый товар из назначения отпускной цены";0.00;testovyj-tovar-iz-naznacheniya-otpusknoj-tseny;1;;;;;;0;"Тестовый товар из назначения отпускной цены";"Тестовый товар из назначения отпускной цены";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ТЕСТ 19.09.2018 14:50:47";"Тестовый товар из назначения закупочной цены";0.00;testovyj-tovar-iz-naznacheniya-zakupochnoj-tseny;1;;;;;;0;"Тестовый товар из назначения закупочной цены";"Тестовый товар из назначения закупочной цены";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ТЕСТ 19.09.2018 14:50:47";"Оформление декларации 19.09.2018 14:50:47";0.00;oformlenie-deklaratsii-19092018-145047;1;;;;;;0;"Оформление декларации 19.09.2018 14:50:47";"Оформление декларации 19.09.2018 14:50:47";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ТЕСТ 19.09.2018 14:50:47";"Смартфон Apple iPhone X 64GB Space Gray 19.09.2018 14:50:47";0.00;smartfon-apple-iphone-x-64gb-space-gray-19092018-145047;1;;;;;;0;"Смартфон Apple iPhone X 64GB Space Gray 19.09.2018 14:50:47";"Смартфон Apple iPhone X 64GB Space Gray 19.09.2018 14:50:47";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ТЕСТ 19.09.2018 14:50:47";"Электрический чайник Philips 19.09.2018 14:50:47";0.00;elektricheskij-chajnik-philips-19092018-145047;1;;;;;;0;"Электрический чайник Philips 19.09.2018 14:50:47";"Электрический чайник Philips 19.09.2018 14:50:47";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"ТЕСТ 19.09.2018 14:50:47";"Блендер KitchenAid 19.09.2018 14:50:47";0.00;blender-kitchenaid-19092018-145047;1;;;;;;0;"Блендер KitchenAid 19.09.2018 14:50:47";"Блендер KitchenAid 19.09.2018 14:50:47";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"мотокар 18092018";0.00;motokar-18092018;1;;;;;;0;"мотокар 18092018";"мотокар 18092018";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"сабина 18092018";0.00;sabina-18092018;1;;;;;;0;"сабина 18092018";"сабина 18092018";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;"карина 18092018";0.00;karina-18092018;1;;;;;;0;"карина 18092018";"карина 18092018";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;звездочка;0.00;zvezdochka;1;;;;;;0;звездочка;звездочка;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
